Ground Truth; Transformed Point; Camera Point; Selected Pixel; Error; Error(mm)
[-0.5, 0.0, 0.051];[-0.5028785734043938, -0.0010117645516622559, 0.05161962618698854];[-0.08162387616804453, -0.05102368251925942, 0.195];[245, 131];0.0030512050656230217;3.0512050656230216
[-0.45, 0.0, 0.051];[-0.4514645820929167, -0.001963757128853258, 0.05110236226806772];[-0.08254110908103304, 0.00040614673790133506, 0.195];[243, 243];0.002449763818822981;2.449763818822981
[-0.47, 0.02, 0.051];[-0.47256796599003953, 0.018701163315955907, 0.051059939037698204];[-0.061903368538791664, -0.02071681884986112, 0.195];[288, 197];0.0028777466979945424;2.8777466979945423
[-0.47, -0.02, 0.051];[-0.47306610574537233, -0.021192070437637836, 0.05156868666207101];[-0.10180300025379166, -0.021176013753942916, 0.195];[201, 196];0.003289686363484437;3.289686363484437
[-0.5, 0.0, 0.051];[-0.5020558622148594, 0.002467779933838926, 0.046463310409864844];[0.14317590058716595, -0.05015528855375265, 0.197];[732, 134];0.003211932011787417;3.2119320117874173
[-0.45, 0.0, 0.051];[-0.4505361090470493, 0.0012501616755471456, 0.046959745715948714];[0.14198815103015297, 0.0013313290411729303, 0.196];[731, 245];0.0013602636234697199;1.3602636234697199
[-0.47, 0.02, 0.051];[-0.4712686738400148, 0.0224803493814148, 0.04688112316883605];[0.16319269447503595, -0.019438409697295825, 0.196];[777, 200];0.0027859767346879905;2.7859767346879907
[-0.47, -0.02, 0.051];[-0.4717614460121135, -0.018537430828037813, 0.04743534757183121];[0.12216651259254493, -0.01989995944703958, 0.196];[688, 199];0.002289497900493649;2.289497900493649
[-0.5, 0.0, 0.051];[-0.5024217104666993, 0.0016329428465421125, 0.047984852994919225];[0.08040702669865284, -0.050590016792504446, 0.159];[638, 107];0.0029208190502997247;2.9208190502997247
[-0.45, 0.0, 0.051];[-0.450797338486012, 0.0015656491148918622, 0.047495781999211395];[0.08040702669865284, 0.0010800067221759994, 0.159];[638, 245];0.001756987709757118;1.756987709757118
[-0.47, 0.02, 0.051];[-0.4717446549707411, 0.022535127492143286, 0.04743190609787698];[0.10134815966595963, -0.019887539051897225, 0.159];[694, 189];0.0030774490033715217;3.077449003371522
[-0.47, -0.02, 0.051];[-0.4721801906373556, -0.01822277815878972, 0.0479827580833434];[0.06058774014030888, -0.020261959512148528, 0.159];[585, 188];0.002812783085857857;2.812783085857857
Orientation 0
[-0.5, 0.0, 0.051];[-0.5021899603419374, 0.0013785398298392648, 0.0490582178960805];[0.08027291905194461, -0.05027184058626228, 0.158];[639, 107];0.0025877206885040554;2.5877206885040556
[-0.45, 0.0, 0.051];[-0.45047658184107625, 0.000950782562266439, 0.04855813276721413];[0.07990132212822106, 0.0014452798416573357, 0.158];[638, 246];0.0010635401882174238;1.0635401882174238
[-0.47, 0.02, 0.051];[-0.4716581623693234, 0.021787833690951122, 0.04848827569619962];[0.10071074985673976, -0.019762460189935608, 0.158];[694, 189];0.0024384117268296144;2.4384117268296146
[-0.47, -0.02, 0.051];[-0.4724522381892872, -0.018712914599925225, 0.04903681622203496];[0.06020668517087297, -0.020506591419114303, 0.158];[585, 187];0.0027694874912309038;2.7694874912309038
